iid,pid,quota,seat,g,or,cr,p
42,109,AI,OPEN,N,10063,13957,0
42,109,AI,OPEN,F,19820,22403,0
42,109,AI,EWS,N,1912,2069,0
42,109,AI,EWS,F,3450,3646,0
42,109,AI,OBC-NCL,N,4402,4996,0
42,109,AI,OBC-NCL,F,8189,8599,0
42,109,AI,SC,N,2203,2659,0
42,109,AI,SC,F,2833,3619,0
42,109,AI,ST,N,883,1093,0
42,109,AI,ST,F,1402,1419,0
42,131,AI,OPEN,N,2344,3785,0
42,131,AI,OPEN,F,4082,6467,0
42,131,AI,OPEN-PwD,F,50,50,1
42,131,AI,EWS,N,426,525,0
42,131,AI,EWS,F,923,1035,0
42,131,AI,OBC-NCL,N,984,1415,0
42,131,AI,OBC-NCL,F,2515,2988,0
42,131,AI,OBC-NCL-PwD,N,54,54,0
42,131,AI,SC,N,344,741,0
42,131,AI,SC,F,836,1158,0
42,131,AI,ST,N,136,257,0
42,131,AI,ST,F,663,663,0
42,158,AI,OPEN,N,5585,7242,0
42,158,AI,OPEN,F,10538,14511,0
42,158,AI,EWS,N,886,1041,0
42,158,AI,EWS,F,2136,2167,0
42,158,AI,OBC-NCL,N,2076,3151,0
42,158,AI,OBC-NCL,F,5062,5470,0
42,158,AI,SC,N,1101,1766,0
42,158,AI,SC,F,2175,2175,0
42,158,AI,ST,N,552,862,0
42,158,AI,ST,F,846,846,0
42,171,AI,OPEN,N,3873,5535,0
42,171,AI,OPEN,F,8804,9686,0
42,171,AI,OPEN-PwD,N,164,164,0
42,171,AI,EWS,N,671,767,0
42,171,AI,EWS,F,1367,1367,0
42,171,AI,OBC-NCL,N,1422,2072,0
42,171,AI,OBC-NCL,F,3635,4551,0
42,171,AI,OBC-NCL-PwD,F,69,69,1
42,171,AI,SC,N,987,1293,0
42,171,AI,SC,F,1476,1476,0
42,171,AI,ST,N,511,553,0
42,171,AI,ST,F,830,830,0
42,190,AI,OPEN,N,8840,10494,0
42,190,AI,OPEN,F,19737,20216,0
42,190,AI,EWS,N,1749,1801,0
42,190,AI,OBC-NCL,N,3444,4500,0
42,190,AI,OBC-NCL,F,6849,6849,0
42,190,AI,SC,N,1650,2568,0
42,190,AI,SC,F,3531,3531,0
42,190,AI,ST,N,1221,1221,0
42,240,AI,OPEN,N,4174,4607,0
42,240,AI,OPEN,F,7679,8287,0
42,240,AI,EWS,N,661,727,0
42,240,AI,OBC-NCL,N,1664,1935,0
42,240,AI,OBC-NCL,F,4715,4715,0
42,240,AI,SC,N,989,992,0
42,240,AI,SC,F,2114,2114,0
42,240,AI,ST,N,619,769,0
42,248,AI,OPEN,N,4945,10078,0
42,248,AI,OPEN,F,13775,18906,0
42,248,AI,OPEN-PwD,N,154,165,1
42,248,AI,EWS,N,1272,1573,0
42,248,AI,EWS,F,2712,2851,0
42,248,AI,OBC-NCL,N,3085,3975,0
42,248,AI,OBC-NCL,F,6760,7321,0
42,248,AI,SC,N,1789,2275,0
42,248,AI,SC,F,3073,3225,0
42,248,AI,ST,N,915,1035,0
42,248,AI,ST,F,1254,1471,0
42,261,AI,OPEN,N,11591,13695,0
42,261,AI,OPEN,F,20044,21967,0
42,261,AI,EWS,N,2057,2211,0
42,261,AI,OBC-NCL,N,5004,5323,0
42,261,AI,OBC-NCL,F,8517,8849,0
42,261,AI,SC,N,2723,2907,0
42,261,AI,SC,F,3707,3707,0
42,261,AI,ST,N,1195,1200,0
42,261,AI,ST,F,1764,1764,0
43,6,AI,OPEN,N,1195,2305,0
43,6,AI,OPEN,F,4812,5994,0
43,6,AI,EWS,N,219,404,0
43,6,AI,EWS,F,1160,1160,0
43,6,AI,EWS-PwD,N,41,41,0
43,6,AI,OBC-NCL,N,909,1283,0
43,6,AI,OBC-NCL,F,2823,3552,0
43,6,AI,OBC-NCL-PwD,F,75,75,1
43,6,AI,SC,N,162,600,0
43,6,AI,SC,F,459,879,0
43,6,AI,ST,N,315,409,0
43,6,AI,ST,F,684,684,0
43,13,AI,OPEN,N,4724,7722,0
43,13,AI,OPEN,F,13688,13761,0
43,13,AI,EWS,N,1123,1311,0
43,13,AI,EWS,F,2839,2839,0
43,13,AI,OBC-NCL,N,2786,4014,0
43,13,AI,OBC-NCL,F,5934,5934,0
43,13,AI,SC,N,2140,2370,0
43,13,AI,SC,F,3236,3236,0
43,13,AI,ST,N,1063,1070,0
43,13,AI,ST,F,1581,1581,0
43,72,AI,OPEN,N,370,957,0
43,72,AI,OPEN,F,3432,3432,0
43,72,AI,EWS,N,397,397,0
43,72,AI,EWS,F,1085,1085,0
43,72,AI,OBC-NCL,N,266,742,0
